"id","x","y","weight"
"WADDON","531154.7022551021","164830.42784707661","167"
"STFODOM","538174.824301226","184760.38879147643","139"
"WBYFLET","504199.6737056601","161074.5478582757","144"
"SPHL","564174.3327323683","284097.8196166524","1"
"CLPHMJ1","527215.4229947084","175504.13651650277","302"
"LLDVERY","276319.9132360411","234519.91812079243","10"
"GRGRAVE","393200.0220431355","453599.47197216086","31"
"HASTING","581449.8877341757","109649.5331616977","198"
"BRDING","460950.1659827765","86876.98338197806","48"
"OAKNGTS","369670.2918078359","310730.4228266692","41"
"DINSDAL","434600.31968310016","513400.3103363593","65"
"SPHS","578392.0928023293","144450.48397576512","82"
"STPX","529999.9548165788","183160.16004273336","212"
"BRITHDR","315200.0081548507","201999.91465322877","37"
"WIDNES","351299.76923954254","387099.4520958021","92"
"WRPLSDN","498947.0686430976","155269.955559673","51"
"ENFLDLK","536427.1695595034","198744.96453508158","116"
"GRETGRN","331959.876626954","567905.5436043853","33"
"WINDSEC","496589.9850288315","176950.42418821098","110"
"BRTHMBR","502887.7742097633","422510.3289452032","31"
"DLMY","313899.9765917819","677900.3203810138","80"
"ALBRGHT","381899.99380955653","304499.9371931708","42"
"GLAZBRK","369554.82578138926","392495.23615816474","28"
"LAWRNCH","360880.9762678941","173377.05197469395","113"
"HBROOMS","559377.8551149003","141369.63812455125","128"
"PCKHMQD","535020.2593748295","176744.50749744708","264"
"GLGHST","259889.85573745432","665199.7160320565","223"
"SCTSTNH","252929.85713689626","668280.0928381364","132"
"SHIFNAL","374949.97974113835","307660.04316481657","49"
"ARDGAY","260029.94152977402","890445.8892935431","12"
"BRIXTON","531100.2315863194","175500.31855419045","123"
"BRDFDOA","382521.76313355076","160677.72921576543","84"
"WTCR","255249.78129554924","657639.9315676437","72"
"HEMSWTH","443098.756137687","413983.96235405887","1"
"HITCHIN","519433.0578159451","229733.9100086037","245"
"HRLNGRD","597769.8347966442","287950.1964634821","4"
"PNTYFYN","262299.967297924","210800.46422103606","10"
"STOW","345605.05648445943","644594.2184239733","63"
"LOWMOOR","416359.2510702957","428201.51756741153","61"
"HUNCOAT","377190.0876884082","430660.5037726867","32"
"KMSLY","590526.1525546801","166148.171714293","57"
"BNWK","335172.7894604969","387821.14372281893","141"
"KENOLYM","524325.2772279149","179180.33167769166","206"
"LANCSTR","347229.8412557408","461720.18503521965","188"
"SMLHTH","409650.1816074153","285100.0061205148","78"
"CHESHNT","536646.9924030115","202306.50310572225","308"
"DUDLPT","396739.9678957788","291865.0377209505","72"
"MANORS","425400.0613432017","564309.621198462","29"
"FLIXTON","374574.7627101861","394184.4328933914","41"
"BOOKHAM","512784.03761806467","155640.34370491488","41"
"PCKHMRY","534202.0981997072","176304.45579797146","179"
"RYEHOUS","538488.1280080589","209761.87125875178","86"
"PORH","302659.88903839915","191350.53779228934","61"
"CHADHDD","558920.1958117925","178770.50707625848","87"
"HELSBY","348669.7708649421","375635.03501868603","65"
"ACHHSHL","200289.6900780898","848439.7025647811","8"
"CRWTHRN","482294.2252638764","163735.47108545795","52"
"PLYMTH","247700.0401839124","55300.49306533905","137"
"HCRT","515375.849590993","168360.55885700503","75"
"ROSLARE","104040.50496248924","270328.02021875506","4"
"UDNGSTN","269369.8580936255","660890.4198884446","103"
"GORNGBS","510477.21549685183","103189.06421679494","119"
"DLMRNOK","261229.8915886021","663209.5860450562","202"
"SEMILLS","354960.94727033994","175870.8176192518","68"
"SRUISLP","511074.4466185516","185455.83511293307","47"
"MITCHMJ","528269.7601487421","167600.17275689548","148"
"DILTONM","385584.67086282826","150000.50774534335","26"
"EGGESFD","268229.6643302477","111480.56927266443","35"
"HARTFD","363149.9613335838","371780.3783073356","36"
"DARWEN","369399.97228157887","422499.524049531","38"
"HMWTHY","398729.78426132817","91729.99041794334","71"
"COWDEN","547657.7931843301","141714.4955975037","30"
"LGML","444960.29193288815","346960.1533700641","40"
"PNTRBCH","306000.02922257566","203799.74079398153","63"
"TDITTON","515660.1378548237","166870.528278002","75"
"AIGBURT","338400.31907990965","385699.6314589947","141"
"DENMRKH","532810.0621214493","176089.89741707832","372"
"SMILFD","449481.95462739415","432037.45410733053","25"
"BLYBDGE","395600.07265629567","341199.9330526105","26"
"ASHCHRC","392629.9940232577","233389.74089538684","35"
"CHPWKSC","589769.935397509","228859.52544860222","37"
"GODMAYS","546400.1923311534","187300.3128486767","328"
"AVNCLFF","380499.66939892113","160100.10038010654","45"
"EBOLDON","437227.87428272906","561437.336103954","174"
"FLWRYFD","394716.191318753","396125.684206196","47"
"STRBDG1","390997.7458984992","283294.9791262372","214"
"WETHERL","346740.1997409061","554660.1353437868","30"
"BSDN","254355.00865939542","671795.2418734072","91"
"HESSLE","502925.19947768515","425685.4071385651","29"
"HNDFRTH","385875.21668604837","383309.8249566452","65"
"NEWCLEE","528500.1665883805","410390.2965990418","16"
"COATBDC","272929.77787496615","665124.5612956719","35"
"REDRUTH","170039.64920272084","42008.849713656615","71"
"MSTONEE","575949.336163217","156206.19392486417","70"
"MSTONEB","575439.9788942817","156115.2516880873","60"
"SPLY","419629.8704373655","410280.1466289948","35"
"CLAVRDN","420799.9867582307","264370.14067491534","20"
"RIBLHED","376559.7208190439","478959.6494298369","16"
"RMSWILP","368589.68046475976","431599.51609935996","38"
"LCHC","411899.97905387636","309174.45738210337","73"
"CHSRD","411459.951744023","293099.503929727","141"
"POYNTON","391150.0056933904","383729.7231245636","39"
"BLAENAU","269984.33419907815","345894.357570716","12"
"CHLFNAL","499643.0075925388","197552.14867092954","65"
"GOLFSTR","355800.2096363797","734199.7407850006","4"
"HRPNDN","513735.0419557428","214174.64798698667","262"
"COATBDS","273169.8040471353","665599.7419904935","157"
"MSTONEW","575591.7754819298","155373.4979446932","67"
"RTHERHI","535304.9134812246","179784.4662551189","581"
"WLMSL","385022.7990926455","381127.4601892146","164"
"BERRYB","413761.13602396136","413853.1041889317","35"
"FITZWLM","441475.1988227231","415290.11357032246","70"
"BRNSTPL","255560.77971060664","132541.25261455143","35"
"SOLIHUL","414490.03563369653","279620.1103586351","143"
"CUMBRAE","218000.00729939312","657999.77806715","53"
"DALMUIR","248420.05684134745","671420.248842455","341"
"HLDG","384349.8193506564","385864.5506374571","102"
"STRBDGJ","390999.79519335064","283300.5370688008","128"
"BILBROK","387499.8458801642","302900.4281942592","41"
"GLGQHL","259189.74619919065","665515.3824124242","366"
"LCHTTVL","413599.5634459111","309933.07155122096","47"
"LTHH","317880.12543101725","183520.31467756577","101"
"SLCT","224830.0110487687","641329.9213897277","70"
"KNUTSFD","375320.03857812734","378380.1226991419","37"
"LCHTTVH","413627.3861253996","309894.2147396016","71"
"LKWD","413270.0484882517","415374.8213864628","35"
"HIGHBYE","531600.0324342477","184700.2898730518","293"
"GYPSYLA","453200.13163349585","515600.02945071564","33"
"HIGHBYA","531584.8087371188","184725.48925498716","321"
"BESJOHN","505000.05908719037","249015.3966519559","34"
"BROMLYN","540379.8024123597","169630.4414292561","86"
"CALSTCK","243427.83339348197","68775.51479213114","18"
"FRDSHM","351869.780854821","377894.626252934","64"
"PERTH","311219.85907538765","723132.7090911571","135"
"SILCRFT","313100.10074853746","481960.4902886861","28"
"WHIMPLE","304590.14833179396","97368.44220049563","26"
"HAGGERS","533554.7697162274","183954.57864230254","581"
"FFAIRFC","262899.9443468486","221199.6958048895","10"
"CHSSN","518399.93589752633","164145.07336036052","70"
"RSKNGTN","508660.1469373945","350579.8642128237","29"
"CHSSS","517899.8250693837","163300.15434108314","70"
"BROMLYS","540429.7318065002","168701.48323476454","418"
"DUBLINF","119190.49662412592","391546.1121876646","8"
"VRGNWTR","500115.2653631503","167954.9567910288","299"
"GIDB","392550.0365656393","397550.4766225786","85"
"NWTNLW","359349.8707191773","395320.1260868131","147"
"HLGN","410590.05641450203","282115.26008632634","62"
"LEYLAND","354729.66947419004","422709.684988452","73"
"WRGTWST","357629.8164844342","388720.8408471909","42"
"BTRSBY","458900.11165357433","507300.17887092405","14"
"COLESHL","419899.8124768987","290999.47154226573","68"
"FRNCMB","497599.922601504","145139.7646274787","61"
"SHRGHAM","615809.9635644134","343050.50076781044","34"
"WCALDER","301999.786155366","663399.7979562597","41"
"GODSTON","536277.3345973832","148357.48670270573","56"
"KIDSGRV","383699.7174516765","354399.58839254786","94"
"LGRN","399760.27293272497","288440.05051547","70"
"APBY","368640.13754192466","520679.45974989457","16"
"FRNDNLT","531560.30856413","181840.5243662558","560"
"DUFIELD","434604.1138707184","343575.110727163","36"
"HAGFOLD","367300.09968514147","404246.9390637426","61"
"THUSTON","591822.819991089","265029.8103397173","38"
"CPNHRST","337240.31220013497","374099.7811737362","79"
"RHYMNEY","311109.8891057839","207470.48236702668","37"
"STRBDGT","390459.8558389536","284190.3366188718","214"
"CHRISTC","415299.71375899913","93199.73266024096","71"
"CLPHMJW","527221.0632567402","175500.93927414453","684"
"FNPK","531337.4642229566","186748.80195426213","502"
"APDR","597565.8707448642","129760.49435757333","36"
"BATTLE","575469.8161425081","115568.56985239848","71"
"WARGRAV","478084.7637505165","178289.2819830788","70"
"CRBG","398920.0029897503","563515.0763683426","42"
"EXHIBTC","257176.91575492473","665510.0708307562","203"
"PULBRO","504284.83663443447","118595.31473759274","69"
"DURSLEY","375290.1833254101","202160.31199843425","47"
"BARNES","522200.30736119195","175699.52308881225","494"
"HLFT","255100.24842894782","672099.8833893876","91"
"CLPHMJM","527207.6711193279","175508.39373070153","783"
"HLFX","409760.30982474843","424960.1055696383","156"
"BAYFORD","531537.013048855","208273.47651786217","86"
"HAYMRKT","324007.75016856584","673145.7277825556","766"
"NBARNET","526499.8093594892","195999.67763850454","135"
"TOOTING","527949.8311125222","170585.36264567194","71"
"LLHARAN","300169.86666802166","183059.55628499296","38"
"COMONDL","466499.86986043095","510029.71877315803","8"
"STYAL","384089.7344321745","383520.21235211886","37"
"CNDAW","535455.5176842953","179475.77682008204","581"
"ADIEWEL","299499.77626489743","662300.2904096425","37"
"YATTON","342499.9126161193","166099.75071298337","84"
"CLPHMJC","527208.6713698289","175496.17872603826","690"
"WCHR","354984.87703612767","341400.1859793966","40"
"REDISHN","389720.32786804455","394750.016447425","59"
"STCKSFL","405429.94672642206","561380.3499580163","43"
"WALKDEN","373820.06285941345","402639.6249644839","63"
"HOPTONH","338029.96391917346","277434.5377981906","9"
"DYFRYNA","258170.23944457498","323330.02265165857","16"
"ACLE","639900.3294571092","309999.9898920297","35"
"CRCK","297740.2618851039","517420.24492411606","28"
"MRYLAND","539183.3347059492","184927.0502939585","328"
"UNVRSYB","404400.24877113843","283699.95550440555","212"
"BELNGHM","537780.0581456817","172294.85447091504","109"
"AIRBLES","275034.141284211","656190.8186801054","69"
"CULRAIN","257680.02283272677","894769.8149000539","8"
"MORETON","377959.9747064265","89090.11460320852","45"
"NRCH","623911.3513039693","308344.60793057666","250"
"THRGRTN","469694.79813671083","348464.8327888748","15"
"STONECS","390200.30662950483","333700.14538356673","7"
"MEOLSCP","335592.2448847172","417082.9763216625","63"
"BSHB","261000.30183763008","670100.3705047508","88"
"WHALLEY","372960.1977689723","436495.50240281434","38"
"HWYCOMB","486934.99697128223","193052.52764222596","164"
"BEARLEY","417148.67652904295","260721.14128616586","15"
"CATFBDG","537365.0767743398","173600.11315796705","150"
"PNALLY","211820.35062373802","199080.2434242731","18"
"SHOTTHL","330799.97504509357","368999.50960249885","31"
"ABRYSTH","258500.2222560569","281599.6311813693","32"
"COGAN","317459.9826692108","172559.93695110927","126"
"YAAM","442099.6752227932","511145.28876531345","36"
"HTRWCBS","507524.7635176169","175814.5862447229","58"
"DLTN","429448.6488233531","514022.98246284167","286"
"GATHRST","354100.20699452615","407199.9001176433","63"
"HEDSTNL","513869.97972035356","190590.30452635547","148"
"ISLIP","452600.1151102802","214399.82940327685","18"
"STWY","142356.9388042976","932565.7505641194","2"
"DLREOCH","239120.16100133362","675709.6064192808","138"
"SHTLSTN","264880.2362206867","664370.5159849955","152"
"BURNLYC","383960.0646755219","433049.9422172427","34"
"BURNLYB","383094.71653259115","432760.3943048285","34"
"CBARPAR","515849.9209356444","181765.1350276427","64"
"PTRSFLD","474386.7765367686","123570.48841385299","100"
"BRUNDLG","631470.2603370865","308339.8398911345","38"
"BDICK","202200.01626420295","635999.6932824933","20"
"WAINFLT","549700.1971934759","358769.4544808466","30"
"STARBCK","432799.9732473432","456000.29993623914","58"
"EDULWCH","533440.1241442669","175359.6978164143","122"
"SESARDM","543099.9212381148","105489.60067246555","39"
"TUNWELL","558427.9841362882","139206.75552477234","128"
"WLWYNGC","523933.0215916054","212903.4048150936","230"
"SUMRSTN","256816.88281090598","669674.496201027","50"
"LYNDHRD","433392.0477033582","110147.15321683537","40"
"NEATH","275099.92452236125","197500.08738113305","86"
"BLTCHLY","486859.0358653348","233740.69553044415","158"
"DUIRNSH","177844.72420481028","831520.497729298","8"
"MSGT","373519.8680222684","406669.95305118465","36"
"BRYSTNS","300099.72302708426","505978.18312675157","9"
"LENZIE","265500.03115182545","671900.3562731596","89"
"MONIFTH","349699.83919145114","732299.8973547587","30"
"SHBN","450640.2900693295","433699.9497333333","33"
"HAVRFDW","196000.21028508458","215699.95550290885","21"
"PTCK","255600.22245939184","666486.9303036617","426"
"ORELPKH","336139.7006118539","396560.41263570206","124"
"CHRSTSH","514799.7514741764","129199.52019465531","51"
"BRRHL","222600.04485204234","581599.6552809051","10"
"THETFD","586769.811144862","283669.5882765654","64"
"NTHCAMP","488599.91359085013","153724.6512564064","78"
"TREFRST","308299.84133987257","188899.9509749714","185"
"NWTGRNG","333174.7394927048","664275.4545257257","63"
"CRDFCEN","318194.1098297802","175888.59113290528","674"
"YTMNSTR","359744.6887980231","110854.70059498167","16"
"THURSO","311299.9000203305","967920.5264073461","8"
"ATTLBON","605177.1419259484","295033.42716331506","40"
"CRSKEYS","322131.9901044647","191942.98475038767","64"
"STIRLNG","279824.27152666985","693589.2089598927","230"
"HINCKLY","442700.2151435199","293200.35799786594","42"
"NABT","286751.75892256404","71199.58559555974","172"
"BLAIRHL","272230.01502257306","665585.0767126993","133"
"BTLYSY","456359.9058813829","405589.4693712383","63"
