"id","x","y","weight"
"1800ED19701","388707.1210900169","404925.71412640496","16"
"2800S31002C","321396.10845967574","387110.1105505351","122"
"2800S31002B","321398.1129351034","387231.0341755438","103"
"2800S54037A","332748.1738052444","400224.6735374473","88"
"250012485","365563.1332509976","431022.83690608013","3"
"250012484","365116.14082853944","430687.4691433187","2"
"1800EH38121","395958.9868268271","395253.8698824136","14"
"1800NF27161","371153.1077334875","392495.77110915043","100"
"1800ED19711","389007.1555344082","404823.9785156964","16"
"2800S31001B","321418.0991067388","386875.06539904943","89"
"1800NF40131","382882.2190027834","400020.6413628893","92"
"2800S31001A","321398.08458903607","386888.08253014775","324"
"2800S54038A","332479.1234379719","400183.89430405584","88"
"2800S54038B","332521.16234247905","400209.6646268625","89"
"1800NF27171","371247.0811829899","392705.694844888","95"
"250012492","341513.0964036955","418811.60873752984","6"
"1800NE09901","384779.1606054377","411055.95417620015","12"
"1800EH38111","396013.0135329921","395221.5592261568","16"
"1800NF40121","382893.2094184943","400196.7188317274","94"
"2800S31004A","321547.12096761976","387566.06599487877","105"
"2800S31004B","321519.10956911364","387558.07261563645","103"
"250012467","350446.1201476937","414839.8563140898","1"
"1800EH38151","395530.9976715842","395458.86029506533","5"
"2800S54035A","333695.126067851","400915.84761824267","24"
"250012469","350577.14227047114","416315.5376654779","15"
"250012468","351107.12280073477","414286.7207217046","1"
"250012460","349308.1067983942","414478.92783408344","2"
"1800NE09911","384776.15585760656","411047.842185831","13"
"250012465","350821.117394167","414572.76860084786","1"
"1800NF27141","370969.0918743968","392070.7872345164","95"
"2800S31003B","321389.06836898805","387440.04895137047","105"
"1800NF40111","382878.1745431956","400257.8529155173","92"
"2800S31003A","321401.05752405495","387420.7107377019","103"
"1800EH38141","395775.02193206863","395304.9890601301","14"
"2800S54036A","332913.1491376826","400328.8130712385","89"
"250012477","360083.98301097046","471632.37735931796","12"
"250012476","359858.9417610752","471285.0480630656","12"
"1800EH38131","395796.01499436155","395314.7601911808","16"
"1800NF27151","371135.1070281687","392420.7831075686","96"
"0610VR300","348664.05071274115","374894.8822900655","26"
"0610VR301","348570.08040049253","374710.87155871285","25"
"0610VR302","348576.0383041076","374669.64088482875","26"
"0610VR303","348409.05616607284","374341.673433339","26"
"0610VR304","348367.0678914915","374326.77498558786","25"
"2800S31006A","322141.0890655486","387529.12359306024","105"
"2800S31006B","322161.06623682805","387513.8846654949","103"
"0610VR308","355491.0963676792","371981.6894616021","5"
"1800EH04791","393159.06060402945","399338.62268828094","33"
"0610VR309","355507.1289088586","371990.44014956814","5"
"1800EDH0621","392807.14025085286","409826.6392869652","9"
"2800S54033A","334248.1572076301","400543.9194571663","47"
"1800NF40181","382873.18798308866","399490.54194037657","92"
"1800NF40171","382900.18306401424","399688.7008059899","94"
"5710WDB48382","318239.3881211281","176785.01087603596","6"
"2800S61122A","332130.2361449406","414454.5915891715","5"
"2800S31005B","321699.06065241934","387552.0928899287","103"
"2800S31005A","321783.11337124347","387565.1713551286","105"
"250012457","349089.06922200543","414683.8032400303","9"
"250012459","349053.13079828164","414559.7966483381","6"
"2800S54034A","334100.15671871585","400787.88721880445","24"
"250012454","348376.1154143993","414816.76312702766","10"
"250012453","349842.0863379707","415102.62891226687","30"
"1800NF40161","382881.2114519728","399689.5486914258","92"
"0610VR322","373300.0965317241","366935.6213375197","9"
"0610VR323","373311.09790439485","366919.8731723442","9"
"0610VR325","374492.1267712737","371259.9985235588","4"
"0610VR326","354208.14014025324","368660.4767938311","12"
"0610VR327","365975.09984270483","366536.75591902167","41"
"0610VR328","365845.1335031535","366478.61035857874","40"
"2800S31008C","322405.10310219566","387349.8706192378","103"
"2800S31008B","322458.1055500339","387287.0232129957","105"
"1800EDH0641","392597.14688905637","409576.97679417965","9"
