pointx_class,Group Description,Category Description,Class,Class Description
6340453,06 Public infrastructure,34 Infrastructure and facilities,453,Allotments
6340454,06 Public infrastructure,34 Infrastructure and facilities,454,Cemeteries and crematoria
6340455,06 Public infrastructure,34 Infrastructure and facilities,455,Drinking fountains and water points
6340433,06 Public infrastructure,34 Infrastructure and facilities,433,Electrical features
6340435,06 Public infrastructure,34 Infrastructure and facilities,435,Fire safety features
6340437,06 Public infrastructure,34 Infrastructure and facilities,437,Gas features
6340456,06 Public infrastructure,34 Infrastructure and facilities,456,Halls and community centres
6340457,06 Public infrastructure,34 Infrastructure and facilities,457,Letter boxes
6340458,06 Public infrastructure,34 Infrastructure and facilities,458,Libraries
6340438,06 Public infrastructure,34 Infrastructure and facilities,438,Meteorological features
6340459,06 Public infrastructure,34 Infrastructure and facilities,459,Places of worship
6340461,06 Public infrastructure,34 Infrastructure and facilities,461,Public toilets
6340462,06 Public infrastructure,34 Infrastructure and facilities,462,Recycling centres
6340440,06 Public infrastructure,34 Infrastructure and facilities,440,Refuse disposal facilities
6340442,06 Public infrastructure,34 Infrastructure and facilities,442,Telecommunications companies
6340443,06 Public infrastructure,34 Infrastructure and facilities,443,Telecommunications features
6340444,06 Public infrastructure,34 Infrastructure and facilities,444,Utility companies and brokers
6340441,06 Public infrastructure,34 Infrastructure and facilities,441,"Waste storage, processing and disposal"
6340802,06 Public infrastructure,34 Infrastructure and facilities,802,Wi-Fi hotspots
10590732,10 Transport,59 Bus transport,732,Bus stops
10590759,10 Transport,59 Bus transport,759,Hail and ride zones
1020012,"01 Accommodation, eating and drinking",02 Eating and drinking,12,Banqueting and function rooms
1020013,"01 Accommodation, eating and drinking",02 Eating and drinking,13,"Cafes, snack bars and tea rooms"
1020018,"01 Accommodation, eating and drinking",02 Eating and drinking,18,Fast food and takeaway outlets
1020019,"01 Accommodation, eating and drinking",02 Eating and drinking,19,Fast food delivery services
1020020,"01 Accommodation, eating and drinking",02 Eating and drinking,20,Fish and chip shops
1020025,"01 Accommodation, eating and drinking",02 Eating and drinking,25,Internet Cafes
1020034,"01 Accommodation, eating and drinking",02 Eating and drinking,34,"Pubs, bars and inns"
1020043,"01 Accommodation, eating and drinking",02 Eating and drinking,43,Restaurants
2100823,02 Commercial services,"10 Personal, consumer and other service",823,Adult services
2100155,02 Commercial services,"10 Personal, consumer and other service",155,"Astrologers, clairvoyants and palmists"
2100158,02 Commercial services,"10 Personal, consumer and other service",158,Cleaning services
2100160,02 Commercial services,"10 Personal, consumer and other service",160, Customer service centres
2100161,02 Commercial services,"10 Personal, consumer and other service",161,CV writers
2100162,02 Commercial services,"10 Personal, consumer and other service",162,Detective and investigation agencies
2100112,02 Commercial services,"10 Personal, consumer and other service",112,Event Ticket Agents and Box Office
2100165,02 Commercial services,"10 Personal, consumer and other service",165,Funeral and associated services
2100167,02 Commercial services,"10 Personal, consumer and other service",167,"Headquarters, administration and central
offices"
2100166,02 Commercial services,"10 Personal, consumer and other service",166,Historical research
2100156,02 Commercial services,"10 Personal, consumer and other service",156,Hair and beauty services
2100103,02 Commercial services,"10 Personal, consumer and other service",103,Hotel Booking Agencies
2100169,02 Commercial services,"10 Personal, consumer and other service",169,Introduction and dating agencies
2100170,02 Commercial services,"10 Personal, consumer and other service",170,"Lock, key and security services"
2100171,02 Commercial services,"10 Personal, consumer and other service",171,Message and greeting services
2100173,02 Commercial services,"10 Personal, consumer and other service",173,Motoring organisations
2100774,02 Commercial services,"10 Personal, consumer and other service",774,"Musicians, orchestras and composers"
2100174,02 Commercial services,"10 Personal, consumer and other service",174,Party organisers
